Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Set parameter PreCrush to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
PreCrush  1
Threads  1

Optimize a model with 4081 rows, 2100 columns and 10421 nonzeros
Model fingerprint: 0x847cb0a7
Variable types: 100 continuous, 2000 integer (2000 binary)
Coefficient statistics:
  Matrix range     [5e-04, 5e+01]
  Objective range  [1e+02, 3e+02]
  Bounds range     [5e+02, 7e+02]
  RHS range        [1e-01, 7e+02]
Found heuristic solution: objective 282831.06700
Presolve removed 92 rows and 276 columns
Presolve time: 0.02s
Presolved: 3989 rows, 1824 columns, 10056 nonzeros
Variable types: 74 continuous, 1750 integer (1750 binary)

Root relaxation: objective 1.927707e+05, 3040 iterations, 0.16 seconds (0.22 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 195274.552    0  699 196940.831 195274.552  0.85%     -    6s
     0     0 195277.452    0  701 196940.831 195277.452  0.84%     -    7s
     0     0 195280.548    0  705 196940.831 195280.548  0.84%     -    7s
     0     0 195282.385    0  706 196940.831 195282.385  0.84%     -    7s
     0     0 195288.016    0  751 196940.831 195288.016  0.84%     -    7s
     0     0 195290.745    0  728 196940.831 195290.745  0.84%     -    7s
     0     0 195295.879    0  723 196940.831 195295.879  0.84%     -    7s
     0     0 195299.444    0  720 196940.831 195299.444  0.83%     -    7s
     0     0 195301.725    0  756 196940.831 195301.725  0.83%     -    7s
     0     0 195304.637    0  722 196940.831 195304.637  0.83%     -    7s
     0     0 195308.881    0  737 196940.831 195308.881  0.83%     -    7s
     0     0 195312.120    0  737 196940.831 195312.120  0.83%     -    8s
     0     0 195313.787    0  745 196940.831 195313.787  0.83%     -    8s
     0     0 195315.739    0  735 196940.831 195315.739  0.83%     -    8s
     0     0 195317.356    0  742 196940.831 195317.356  0.82%     -    8s
     0     0 195319.498    0  716 196940.831 195319.498  0.82%     -    8s
     0     0 195321.410    0  719 196940.831 195321.410  0.82%     -    8s
     0     0 195325.092    0  744 196940.831 195325.092  0.82%     -    8s
